,vehicle_id,time,x,y
213,flow_1.1,18,5.1,-8.0
233,flow_1.1,19,7.461281883390621,-8.0
256,flow_1.1,20,11.229003160842694,-8.0
279,flow_1.1,21,17.455955533008094,-8.0
303,flow_1.1,22,25.18264985082206,-8.0
327,flow_1.1,23,35.27199874382932,-8.0
351,flow_1.1,24,46.81378917512484,-8.0
375,flow_1.1,25,60.61123540312983,-8.0
399,flow_1.1,26,75.87964820611752,-8.0
423,flow_1.1,27,91.1857652397872,-8.0
447,flow_1.1,28,106.52846368301648,-8.0
471,flow_1.1,29,121.25511567430554,-8.0
495,flow_1.1,30,135.70792568207233,-8.0
519,flow_1.1,31,150.29872015008215,-8.0
543,flow_1.1,32,165.88724201890147,-8.0
567,flow_1.1,33,180.51824008272465,-8.0
591,flow_1.1,34,195.76606009631385,-8.0
615,flow_1.1,35,210.09657921956347,-8.0
640,flow_1.1,36,225.43348985013043,-8.0
672,flow_1.1,37,240.1489144126228,-8.0
682,flow_2.2,37,5.1,-8.0
706,flow_1.1,38,255.71857425318512,-8.0
716,flow_2.2,38,7.612789243040606,-8.0
741,flow_1.1,39,270.7164341479394,-8.0
751,flow_2.2,39,11.75920150077436,-8.0
777,flow_1.1,40,286.11777113429207,-8.0
787,flow_2.2,40,18.356135933450425,-8.0
813,flow_1.1,41,301.2356543442833,-8.0
823,flow_2.2,41,26.78982362202369,-8.0
849,flow_1.1,42,316.18934588302324,-8.0
859,flow_2.2,42,36.64424550908152,-8.0
885,flow_1.1,43,330.7243985471728,-8.0
895,flow_2.2,43,48.56478921247181,-8.0
921,flow_1.1,44,345.6448391576384,-8.0
931,flow_2.2,44,62.73233809166122,-8.0
957,flow_1.1,45,361.0779986117028,-8.0
967,flow_2.2,45,78.32064045048892,-8.0
993,flow_1.1,46,376.48240123478615,-8.0
1003,flow_2.2,46,93.17274971796414,-8.0
1029,flow_1.1,47,390.9308974023015,-8.0
1039,flow_2.2,47,108.13071065153316,-8.0
1065,flow_1.1,48,406.4059811713119,-8.0
1075,flow_2.2,48,123.1654157583598,-8.0
1101,flow_1.1,49,420.7203410658837,-8.0
1111,flow_2.2,49,137.87063482523033,-8.0
1137,flow_1.1,50,435.8863955064434,-8.0
1147,flow_2.2,50,153.39037467500836,-8.0
1173,flow_1.1,51,450.2139723392333,-8.0
1183,flow_2.2,51,167.81583171153258,-8.0
1209,flow_1.1,52,464.886024274052,-8.0
1219,flow_2.2,52,183.33217977706727,-8.0
1245,flow_1.1,53,480.2040448945191,-8.0
1255,flow_2.2,53,198.6650989968612,-8.0
1280,flow_0.3,54,5.1,-4.8
1282,flow_1.1,54,494.54903474273976,-8.0
1295,flow_2.2,54,213.78784175804955,-8.0
1326,flow_0.3,55,7.496592833986506,-4.8
1328,flow_1.1,55,508.9018731472304,-8.0
1341,flow_2.2,55,229.0937856704394,-8.0
1373,flow_0.3,56,11.585760909854436,-4.8
1375,flow_1.1,56,523.4054290241456,-8.0
1388,flow_2.2,56,244.33221606644688,-8.0
1420,flow_0.3,57,17.00890071697068,-4.8
1422,flow_1.1,57,537.9552397551049,-8.0
1435,flow_2.2,57,258.81660062149626,-8.0
1436,flow_2.3,57,5.1,-8.0
1468,flow_0.3,58,24.07581184010488,-4.8
1470,flow_1.1,58,553.4946774062408,-8.0
1483,flow_2.2,58,273.8167539429488,-8.0
1484,flow_2.3,58,7.676187840057537,-8.0
1516,flow_0.3,59,33.354088011709976,-4.8
1518,flow_1.1,59,569.0490906683575,-8.0
1531,flow_2.2,59,289.2094075403569,-8.0
1532,flow_2.3,59,12.329146599723028,-8.0
1564,flow_0.3,60,44.1733210425824,-4.8
1566,flow_1.1,60,583.9866066182717,-8.0
1579,flow_2.2,60,304.15129736231023,-8.0
1580,flow_2.3,60,19.06672166166827,-8.0
1612,flow_0.3,61,56.76297897645273,-4.8
1614,flow_1.1,61,599.2812727240506,-8.0
1627,flow_2.2,61,319.3898876882899,-8.0
1628,flow_2.3,61,27.380782401817854,-8.0
1660,flow_0.3,62,69.2623808360005,-4.8
1662,flow_1.1,62,614.2615636170176,-8.0
1675,flow_2.2,62,333.8129069716769,-8.0
1676,flow_2.3,62,37.71627077173908,-8.0
1708,flow_0.3,63,81.58377064509284,-4.8
1710,flow_1.1,63,628.7263578790878,-8.0
1723,flow_2.2,63,349.10409816379365,-8.0
1724,flow_2.3,63,49.54427010354121,-8.0
1756,flow_0.3,64,94.52454031371929,-4.8
1758,flow_1.1,64,643.8286202370267,-8.0
1771,flow_2.2,64,364.8113248158461,-8.0
1772,flow_2.3,64,63.11554631125321,-8.0
